YEAR,MONTH,AGE,SEX,RACE,EDUC,EMPSTAT,WTFINL,MARST,METRO,DIFFANY
2023,3,31,2,100,73,12,4730.5144,1,3,1
2023,3,39,1,100,73,10,7094.34,1,3,1
2023,3,7,1,100,1,0,5055.0982,9,3,0
2023,3,3,2,100,1,0,4768.8435,9,3,0
2023,3,42,2,801,123,12,7936.0952,1,3,1
2023,3,42,2,200,123,10,5477.6093,1,3,1
2023,3,80,2,100,73,36,3793.3935,5,2,2
2023,3,63,2,100,73,10,4048.4353,4,3,1
2023,3,65,2,100,73,36,3525.474,4,3,1
2023,3,80,2,100,123,36,3793.3935,5,2,1
2023,3,80,1,100,73,36,4105.9908,5,2,1
2023,3,61,2,100,111,10,3754.6615,6,2,1
2023,3,33,1,100,81,10,5530.3381,1,2,1
2023,3,33,2,100,73,34,4601.3708,1,2,1
2023,3,8,1,100,1,0,4458.3704,9,2,0
2023,3,5,2,100,1,0,3850.2695,9,2,0
2023,3,3,2,100,1,0,4398.5843,9,2,0
2023,3,77,2,100,123,36,3899.8602,1,3,1
2023,3,71,1,100,81,34,4501.7696,1,3,1
2023,3,62,1,100,91,10,4645.4539,1,3,1
2023,3,56,2,100,81,34,4464.8755,1,3,1
2023,3,52,2,100,111,10,3979.6457,1,2,1
2023,3,57,1,100,111,10,5027.1872,1,2,2
2023,3,19,2,100,81,10,4806.6977,6,2,1
2023,3,30,1,100,111,10,5530.3381,1,2,1
2023,3,30,2,100,111,10,4601.3708,1,2,1
2023,3,1,1,100,1,0,5169.8018,9,2,0
2023,3,52,2,100,123,10,4034.0589,1,2,2
2023,3,53,1,100,125,10,4880.4227,1,2,1
2023,3,25,2,801,81,10,6570.8338,6,2,1
2023,3,24,2,100,123,10,5607.8429,6,2,1
2023,3,55,2,100,111,32,4464.8755,1,3,2
2023,3,68,1,100,92,32,4094.519,1,3,2
2023,3,31,1,100,92,10,5459.8831,6,3,1
2023,3,71,1,100,73,36,4501.7696,1,3,1
2023,3,56,2,100,73,10,3782.2107,1,3,1
2023,3,56,2,100,81,36,4342.9839,1,2,1
2023,3,61,1,100,81,36,4414.9683,1,2,1
2023,3,18,2,100,60,34,6086.996,6,3,1
2023,3,1,1,100,1,0,5963.0864,9,3,0
2023,3,1,1,100,1,0,5963.0864,9,3,0
2023,3,52,2,100,111,10,4034.0589,1,2,1
2023,3,47,1,100,81,12,4302.7517,1,2,1
2023,3,13,2,100,1,0,5090.6517,9,2,0
2023,3,10,2,100,1,0,3778.9641,9,2,0
2023,3,64,2,100,91,10,4048.4353,4,3,1
2023,3,42,2,100,81,10,4312.5715,6,3,1
2023,3,36,1,100,111,10,6346.8064,1,3,1
2023,3,34,2,100,123,10,4730.5144,1,3,1
2023,3,3,1,100,1,0,5259.0507,9,3,0
2023,3,27,1,100,81,10,6329.8953,6,2,1
2023,3,9,2,100,1,0,3113.3822,9,2,0
2023,3,26,2,100,71,34,5458.2299,1,2,1
2023,3,36,1,100,73,10,6900.6637,1,2,1
2023,3,9,1,100,1,0,4339.5633,9,2,0
2023,3,0,2,100,1,0,7165.0628,9,2,0
2023,3,27,1,100,30,22,6329.8953,6,2,1
2023,3,47,1,100,10,10,5975.8641,4,2,1
2023,3,18,2,100,81,34,5920.8203,6,2,1
2023,3,15,2,100,60,34,5248.2209,6,2,1
2023,3,43,1,100,81,10,5630.9586,4,3,2
2023,3,44,2,100,73,10,4782.394,4,3,1
2023,3,59,2,100,73,10,4342.9839,1,2,1
2023,3,61,1,100,73,10,4518.6324,1,2,1
2023,3,42,2,100,111,10,4194.8377,1,2,1
2023,3,47,1,100,81,10,4302.7517,1,2,1
2023,3,8,2,100,1,0,4281.5341,9,2,0
2023,3,5,2,100,1,0,3850.2695,9,2,0
2023,3,43,2,100,91,10,4312.5715,5,3,1
2023,3,21,2,100,73,10,5765.2345,6,3,1
2023,3,21,2,100,73,10,5747.4716,6,3,1
2023,3,53,2,200,73,10,4519.7363,6,3,1
2023,3,20,1,100,73,10,7087.8014,6,3,1
2023,3,23,1,100,73,10,7087.8014,6,3,1
2023,3,18,1,100,73,10,6654.9081,6,3,1
2023,3,14,1,100,1,0,4574.1221,9,3,0
2023,3,31,1,100,91,10,5459.8831,1,3,1
